rank,keyword,slug,priority_score,volume,kd,traffic_potential,source,gap_mode,serp_intent,bid_verdict,aio_verdict,redteam_verdict,brand_fit,product_fit,competitor_top_position,competitor_domains,parent_topic,intent,redteam_priority_delta,redteam_critique_summary,notes
11,ai girlfriend free,ai-girlfriend-free,8.27,18100,32,18100,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,10,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.87 (T=6.92,BF=9,PF=8) boost=0.4"
12,sexting sites,sexting-sites,8.05,27100,50,27100,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,27,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.65 (T=6.37,BF=9,PF=8) boost=0.4"
13,sexting websites,sexting-websites,8.05,27100,50,27100,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,32,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.65 (T=6.37,BF=9,PF=8) boost=0.4"
14,ai companion platforms,ai-companion-platforms,8.01,8100,11,8100,seed_modifier,seed_modifier,commercial,PASS,RISKY,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.01 (T=7.27,BF=9,PF=8) boost=0.0"
15,vidqu ai girlfriend,vidqu-ai-girlfriend,8.01,4400,0,4400,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.01 (T=7.29,BF=9,PF=8) boost=0.0"
16,nsfw chatbot,nsfw-chatbot,7.93,12100,42,12100,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,10,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.53 (T=6.07,BF=9,PF=8) boost=0.4"
17,free sexting,free-sexting,7.91,27100,57,27100,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,18,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.51 (T=6.02,BF=9,PF=8) boost=0.4"
18,ai roleplay,ai-roleplay,7.91,18100,50,18100,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,33,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.51 (T=6.02,BF=9,PF=8) boost=0.4"
19,ai girlfriend chat,ai-girlfriend-chat,7.8,14800,52,14800,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,5,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.40 (T=5.74,BF=9,PF=8) boost=0.4"
20,ai companion apps,ai-companion-apps,7.71,3600,12,3600,seed_modifier,seed_modifier,commercial-investigation,PASS,RISKY,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.71 (T=6.51,BF=9,PF=8) boost=0.0"
21,ai character chat app,ai-character-chat-app,7.67,27100,69,27100,competitor_gap,missing,commercial-investigation,PASS,RISKY,KEEP,9,8,119,ourdream.ai,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.27 (T=5.42,BF=9,PF=8) boost=0.4"
22,ai girlfriend game,ai-girlfriend-game,7.63,3600,16,3600,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.63 (T=6.31,BF=9,PF=8) boost=0.0"
23,ai girlfriend games,ai-girlfriend-games,7.63,3600,16,3600,seed_modifier,seed_modifier,informational,PASS,RISKY,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.63 (T=6.31,BF=9,PF=8) boost=0.0"
24,best ai girlfriend,best-ai-girlfriend,7.61,4400,35,4400,question_mining+seed_modifier,question_mining,commercial-investigation,PASS,RISKY,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.31 (T=5.54,BF=9,PF=8) boost=0.3"
25,talk to ai girlfriend,talk-to-ai-girlfriend,7.6,6600,48,6600,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,3,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.20 (T=5.24,BF=9,PF=8) boost=0.4"
26,best ai companion,best-ai-companion,7.58,1600,19,1600,question_mining+seed_modifier,question_mining,commercial-investigation,PASS,RISKY,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.28 (T=5.46,BF=9,PF=8) boost=0.3"
27,ai girlfriend simulator,ai-girlfriend-simulator,7.55,3600,20,3600,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.55 (T=6.11,BF=9,PF=8) boost=0.0"
28,ai companion app,ai-companion-app,7.53,3600,21,3600,seed_modifier,seed_modifier,commercial-investigation,PASS,RISKY,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.53 (T=6.06,BF=9,PF=8) boost=0.0"
29,character ai roleplay,character-ai-roleplay,7.48,1600,9,1600,seed_modifier,seed_modifier,commercial,PASS,PASS,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.48 (T=5.96,BF=9,PF=8) boost=0.0"
30,ai boyfriend reddit,ai-boyfriend-reddit,7.43,1300,8,1300,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.43 (T=5.83,BF=9,PF=8) boost=0.0"
31,ai boyfriend chatbot,ai-boyfriend-chatbot,7.4,1600,13,1600,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.40 (T=5.76,BF=9,PF=8) boost=0.0"
32,ai character chat,ai-character-chat,7.35,27100,65,27100,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.35 (T=5.62,BF=9,PF=8) boost=0.0"
33,ai roleplay platform,ai-roleplay-platform,7.32,6600,42,6600,seed_modifier,seed_modifier,commercial,PASS,RISKY,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.32 (T=5.54,BF=9,PF=8) boost=0.0"
34,ai boyfriend free,ai-boyfriend-free,7.31,1300,14,1300,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.31 (T=5.53,BF=9,PF=8) boost=0.0"
35,ai roleplay chatbots,ai-roleplay-chatbots,7.3,1600,18,1600,seed_modifier,seed_modifier,commercial,PASS,PASS,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.30 (T=5.51,BF=9,PF=8) boost=0.0"
36,free ai companion,free-ai-companion,7.27,1300,31,1300,question_mining+seed_modifier,question_mining,informational,PASS,RISKY,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.97 (T=4.68,BF=9,PF=8) boost=0.3"
37,ai boyfriend online free no sign up,ai-boyfriend-online-free-no-sign-up,7.26,1900,23,1900,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.26 (T=5.41,BF=9,PF=8) boost=0.0"
38,ai roleplay chat,ai-roleplay-chat,7.09,8100,57,8100,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.09 (T=4.97,BF=9,PF=8) boost=0.0"
39,virtual ai companion,virtual-ai-companion,7.06,1600,30,1600,seed_modifier,seed_modifier,commercial,PASS,RISKY,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.06 (T=4.91,BF=9,PF=8) boost=0.0"
40,ai roleplay chat bot,ai-roleplay-chat-bot,7.04,1600,31,1600,seed_modifier,seed_modifier,commercial,PASS,PASS,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.04 (T=4.86,BF=9,PF=8) boost=0.0"
41,ai character chat free,ai-character-chat-free,7.02,14800,71,14800,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.02 (T=4.79,BF=9,PF=8) boost=0.0"
42,talk to an ai girlfriend,talk-to-an-ai-girlfriend,6.98,6600,59,6600,seed_modifier,seed_modifier,informational,PASS,RISKY,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.98 (T=4.69,BF=9,PF=8) boost=0.0"
43,ai girlfriend online free,ai-girlfriend-online-free,6.95,4400,53,4400,seed_modifier,seed_modifier,commercial,PASS,PASS,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.95 (T=4.64,BF=9,PF=8) boost=0.0"
44,ai girlfriend realistic,ai-girlfriend-realistic,6.95,1300,32,1300,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.95 (T=4.63,BF=9,PF=8) boost=0.0"
45,create your own ai girlfriend,create-your-own-ai-girlfriend,6.91,5400,59,5400,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.91 (T=4.51,BF=9,PF=8) boost=0.0"
46,create ai girlfriend,create-ai-girlfriend,6.88,2400,46,2400,seed_modifier,seed_modifier,informational,PASS,RISKY,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.88 (T=4.46,BF=9,PF=8) boost=0.0"
47,ai girlfriend chatting,ai-girlfriend-chatting,6.83,2900,52,2900,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.83 (T=4.33,BF=9,PF=8) boost=0.0"
48,free ai roleplay,free-ai-roleplay,6.82,1900,60,1900,question_mining+seed_modifier,question_mining,informational,PASS,RISKY,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.52 (T=3.56,BF=9,PF=8) boost=0.3"
49,ai roleplay chatbot,ai-roleplay-chatbot,6.76,1600,45,1600,seed_modifier,seed_modifier,commercial,PASS,PASS,KEEP,9,8,,,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.76 (T=4.16,BF=9,PF=8) boost=0.0"
50,ai girlfriend no sign up,ai-girlfriend-no-sign-up,6.73,2900,57,2900,seed_modifier,seed_modifier,informational,PASS,PASS,KEEP,9,8,,,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=6.73 (T=4.08,BF=9,PF=8) boost=0.0"
