keyword,volume,kd,traffic_potential,competitor_top_position,competitor_domains,parent_topic,intent,source,question_subtype,serp_features,brand_fit,product_fit,serp_intent,dr_top10_median,weak_link_count,bid_verdict,bid_reason,has_aio,aio_completeness_score,aio_click_intent,aio_verdict,aio_reasoning,redteam_verdict,redteam_priority_delta,redteam_critique_summary,priority_score,notes,gap_mode
ai chat girlfriend,1800,47,71000,4,candy.ai,ai girlfriend,commercial,both,,sitelink,9,8,informational,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Core funnel keyword for Companion Creator,8.04,"base=8.04 (T=7.35,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai girlfriend experience,150,39,71000,3,candy.ai,ai girlfriend,commercial,both,,sitelink;news;video_th;question,9,8,informational,39,0,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,0.5,AIO-resistant opinion-driven top-of-funnel keyword,8.70,"base=8.20 (T=7.75,BF=9,PF=8) boost=0.0 delta=+0.5",missing
online girlfriend ai,50,55,71000,,,ai girlfriend,commercial,seed_modifier,,,7,6,informational,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
chat with an ai girlfriend,100,58,71000,,,ai girlfriend,commercial,seed_modifier,,sitelink;discussion,9,8,informational,58,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
ai girlfriend chat,5100,43,69000,4,candy.ai,ai girlfriend,commercial,both,,discussion,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,"Core listicle keyword, beatable",8.11,"base=8.11 (T=7.53,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai girlfriend love simulator,1600,50,69000,,,ai girlfriend,commercial,seed_modifier,,question;discussion,9,8,informational,50,0,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-0.8,"Adjacent: love-sim seekers, not chat seekers",7.17,"base=7.97 (T=7.18,BF=9,PF=8) boost=0.0 delta=-0.8",seed_modifier
free sexy ai girlfriend,100,60,69000,,,ai girlfriend,informational,seed_modifier,,,9,8,informational,60,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
ai girlfriend chat bot,100,43,69000,,,ai girlfriend,commercial,seed_modifier,,discussion;news;image_th;question,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Variant of ai girlfriend chat,8.11,"base=8.11 (T=7.53,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai chat bot girlfriend,150,26,69000,,,ai girlfriend,commercial,seed_modifier,,sitelink;ai_overview;discussion;question;news;image_th,9,8,informational,26,2,PASS,,true,5,yes-deep,RISKY,"Niche/informational query — AIO gives a partial answer; readers click for depth, examples, or platform-specific guidance. [moderate_aio_completeness]",KEEP,0,Lowest-difficulty top-30 candidate,8.45,"base=8.45 (T=8.38,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend text,200,34,68000,,,ai girlfriend,commercial,seed_modifier,,sitelink;news;video_th;image_th,9,8,informational,34,1,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-0.5,Narrow texting variant; lower priority,7.79,"base=8.29 (T=7.97,BF=9,PF=8) boost=0.0 delta=-0.5",seed_modifier
nsfw ai companion,350,51,64000,3,ourdream.ai,spicy chat ai,commercial,both,,sitelink,9,8,informational,51,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Highest brand-categorical match; must-write,7.92,"base=7.92 (T=7.06,BF=9,PF=8) boost=0.0 delta=+0.0",missing
realistic ai nsfw,100,1,60000,,,ai porn,informational,seed_modifier,,sitelink,7,4,informational,1,2,PASS,,false,,,PASS,No AIO present in SERP features.,DROP,0,"Volume too low, KD score unreliable, intent likely tool-led not informational",7.10,"base=7.10 (T=9.51,BF=7,PF=4) boost=0.0 delta=+0.0",seed_modifier
chat ai nsfw,1400,11,48000,,,nsfw ai,commercial,seed_modifier,,sitelink,7,6,informational,11,2,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,"Genuine product-intent alignment, AIO-resistant adult chat space, achievable difficulty",7.43,"base=7.43 (T=8.81,BF=7,PF=6) boost=0.0 delta=+0.0",seed_modifier
ai chat nsfw free,600,16,48000,,,spicyai,informational,seed_modifier,,sitelink,9,8,informational,16,2,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,KD 16 — high-priority displacement target,8.53,"base=8.53 (T=8.56,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
free nsfw ai writer,100,45,47000,,,ai writer,informational,seed_modifier,,sitelink,9,4,informational,45,0,PASS,,false,,,PASS,No AIO present in SERP features.,DROP,0,"Wrong product vertical (writer != companion), 'free' attracts non-converters, established competition",6.74,"base=6.74 (T=7.09,BF=9,PF=4) boost=0.0 delta=+0.0",seed_modifier
ai chat nsfw,8500,35,46000,17,candy.ai,nsfw ai,commercial,both,,sitelink,9,8,informational,35,1,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Core listicle keyword,8.13,"base=8.13 (T=7.58,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai nsfw chat,6300,35,46000,18,candy.ai,nsfw ai,informational,both,,,9,8,informational,35,1,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Word-order variant of ai chat nsfw,8.13,"base=8.13 (T=7.58,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai nsfw chat bot,300,18,46000,,,nsfw ai,informational,seed_modifier,,sitelink,9,8,informational,18,2,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,KD 18 soft-difficulty variant,8.47,"base=8.47 (T=8.43,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai roleplay porn,350,41,46000,,,ai sex chat,informational,seed_modifier,,sitelink,9,8,informational,41,0,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-1.0,Audience mismatch: porn-directory seekers,7.01,"base=8.01 (T=7.28,BF=9,PF=8) boost=0.0 delta=-1.0",seed_modifier
nsfw ai chat porn,150,51,46000,,,ai sex chat,commercial,seed_modifier,,sitelink,9,8,informational,51,0,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-0.5,Mixed-audience query; borderline,7.31,"base=7.81 (T=6.78,BF=9,PF=8) boost=0.0 delta=-0.5",seed_modifier
ai girlfriend simulator,2500,41,44000,9,candy.ai,ai girlfriend,commercial,both,,ai_overview;video_th;image_th;discussion;question,9,8,informational,41,0,PASS,,true,5,yes-deep,RISKY,"Niche/informational query — AIO gives a partial answer; readers click for depth, examples, or platform-specific guidance. [moderate_aio_completeness]",REVISE_PRIORITY,-0.8,Same audience mismatch as love simulator,7.19,"base=7.99 (T=7.24,BF=9,PF=8) boost=0.0 delta=-0.8",missing
virtual ai girlfriend,450,48,43000,12,ourdream.ai,ai girlfriend,commercial,both,,sitelink,9,8,informational,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Solid category synonym,7.85,"base=7.85 (T=6.87,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai chatbot girlfriend,600,51,43000,,,ai girlfriend,commercial,seed_modifier,,ai_overview;news;image_th;video_th,9,8,informational,51,0,PASS,,true,5,yes-deep,RISKY,"Niche/informational query — AIO gives a partial answer; readers click for depth, examples, or platform-specific guidance. [moderate_aio_completeness]",KEEP,0,AIO-RISKY but salvageable with comparative depth,7.79,"base=7.79 (T=6.72,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend game,900,34,41000,7,candy.ai,ai girlfriend,commercial,both,,video_th;news;image_th,9,8,informational,34,1,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-0.8,Game-vs-chat mismatch,7.31,"base=8.11 (T=7.53,BF=9,PF=8) boost=0.0 delta=-0.8",missing
ai girlfriend games,200,30,41000,,,ai girlfriend,commercial,seed_modifier,,discussion,9,8,informational,30,1,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-0.8,Plural variant of #28,7.39,"base=8.19 (T=7.73,BF=9,PF=8) boost=0.0 delta=-0.8",seed_modifier
fake ai girlfriend,60,33,41000,,,ai girlfriend,commercial,seed_modifier,,sitelink;news;image_th;video_th,9,8,informational,33,1,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-1.0,Awareness-stage keyword with negative framing,7.13,"base=8.13 (T=7.58,BF=9,PF=8) boost=0.0 delta=-1.0",seed_modifier
ai chat character roleplay,100,22,41000,,,joyland ai,informational,seed_modifier,,sitelink,9,8,informational,22,2,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,"Highest combined fit, defensible difficulty, top-of-funnel intent — anchor of the batch",8.35,"base=8.35 (T=8.13,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw ai art generator no sign up,300,50,40000,,,ai art generator,informational,seed_modifier,,,9,7,tool-led,50,0,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-1.5,'No sign up' is literal disqualifier for account-required product,6.98,"base=7.48 (T=6.70,BF=9,PF=7) boost=1.0 delta=-1.5",seed_modifier
virtual reality ai girlfriend,100,46,39000,,,ai girlfriend,commercial,seed_modifier,,sitelink,9,8,informational,46,0,PASS,,false,,,PASS,No AIO present in SERP features.,DROP,0,"Wrong product modality (VR), entrenched tech-press competition, low volume",7.85,"base=7.85 (T=6.88,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai chatbot nsfw,1900,12,39000,,,nsfw ai,informational,seed_modifier,,,9,8,informational,12,2,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,"High volume, low difficulty, direct product fit, AIO-resistant — cluster with chat ai nsfw",8.53,"base=8.53 (T=8.58,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw ai free,3300,33,37000,,,nsfw ai,informational,seed_modifier,,,9,4,informational,33,1,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-1.0,"High-volume vanity keyword draws non-paying traffic, imminent AIO compression",5.89,"base=6.89 (T=7.49,BF=9,PF=4) boost=0.0 delta=-1.0",seed_modifier
free nsfw ai,8300,34,37000,,,nsfw ai,informational,seed_modifier,,sitelink,9,4,informational,34,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.87,"base=6.87 (T=7.44,BF=9,PF=4) boost=0.0 delta=+0.0",seed_modifier
nsfw ai chatbot free,600,4,36000,,,spicyai,informational,seed_modifier,,,9,8,informational,4,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.67,"base=8.67 (T=8.91,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw ai chat free,2600,33,36000,,,spicyai,informational,seed_modifier,,sitelink,9,8,informational,33,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.09,"base=8.09 (T=7.46,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
romantic girlfriend ai chat,70,54,33000,,,ai girlfriend,commercial,seed_modifier,,sitelink,9,8,informational,54,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
romantic ai girlfriend,200,47,33000,,,ai girlfriend,commercial,seed_modifier,,sitelink,9,8,informational,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.77,"base=7.77 (T=6.69,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend simulator free,200,49,33000,,,ai girlfriend,informational,seed_modifier,,ai_overview;ai_overview_sitelink;image_th;video_th;sitelink;discussion,9,8,informational,49,0,PASS,,true,5,yes-deep,RISKY,"Niche/informational query — AIO gives a partial answer; readers click for depth, examples, or platform-specific guidance. [moderate_aio_completeness]",,,,7.73,"base=7.73 (T=6.59,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai sexual girlfriend,60,57,33000,,,ai girlfriend,commercial,seed_modifier,,sitelink,7,6,informational,57,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
ai girlfriend best,100,56,32000,,,ai girlfriend,commercial,seed_modifier,,sitelink,9,8,informational,56,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
ai girlfriend movie,250,20,31000,,,companion movie,informational,seed_modifier,,ai_overview;image_th;question;video_th;sitelink;news,1,8,informational,20,2,FAIL,low_brand_fit,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
ai nsfw chat free,600,12,31000,,,spicyai,informational,seed_modifier,,sitelink,9,8,informational,12,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.45,"base=8.45 (T=8.38,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw ai chats,4500,46,30000,,,nsfw ai chat,informational,seed_modifier,,sitelink,9,8,informational,46,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.76,"base=7.76 (T=6.65,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw ai chat bot,3400,2,30000,,,nsfw ai chat,commercial,seed_modifier,,,9,8,informational,2,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.64,"base=8.64 (T=8.85,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw chat ai,11000,47,30000,,,nsfw ai chat,commercial,seed_modifier,,sitelink,9,8,informational,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.74,"base=7.74 (T=6.60,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw ai chatbot,5800,8,30000,,,nsfw ai chat,commercial,seed_modifier,,,9,8,informational,8,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.52,"base=8.52 (T=8.55,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girl,29000,59,29000,4,candy.ai,,informational,competitor_gap,,question;video_th;image_th,9,6,informational,59,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
dream girlfriend ai,250,49,29000,1,ourdream.ai,ai girlfriend,commercial,both,,sitelink,7,6,informational,49,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.49,"base=6.49 (T=6.47,BF=7,PF=6) boost=0.0 delta=+0.0",missing
ai roleplay generator,400,21,29000,,,perchance ai,informational,seed_modifier,,question;discussion,9,8,tool-led,21,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,9.25,"base=8.25 (T=7.87,BF=9,PF=8) boost=1.0 delta=+0.0",seed_modifier
nsfw ai gen,2600,1,28000,,,ai nsfw,informational,seed_modifier,,,9,7,informational,1,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.34,"base=8.34 (T=8.84,BF=9,PF=7) boost=0.0 delta=+0.0",seed_modifier
nsfw ai images,1400,38,28000,,,ai nsfw,informational,seed_modifier,,sitelink,9,4,informational,38,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.70,"base=6.70 (T=6.99,BF=9,PF=4) boost=0.0 delta=+0.0",seed_modifier
ai nsfw generator,3800,4,28000,,,ai nsfw,informational,seed_modifier,,,8,7,tool-led,4,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.98,"base=7.98 (T=8.69,BF=8,PF=7) boost=1.0 delta=+0.0",seed_modifier
ai girls,26000,50,26000,2,candy.ai,,informational,competitor_gap,,sitelink,9,6,informational,50,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.03,"base=7.03 (T=6.33,BF=9,PF=6) boost=0.0 delta=+0.0",missing
free ai girlfriend,14000,43,26000,10,candy.ai,ai girlfriend free,informational,both,,,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.77,"base=7.77 (T=6.68,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai girlfriend no sign up,1000,46,26000,3,nastia.ai,ai girlfriend free,informational,both,,,9,8,informational,46,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.71,"base=7.71 (T=6.53,BF=9,PF=8) boost=0.0 delta=+0.0",missing
free ai girlfriend chat,700,43,26000,3,nastia.ai,ai girlfriend free,informational,both,,sitelink,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.77,"base=7.77 (T=6.68,BF=9,PF=8) boost=0.0 delta=+0.0",missing
free ai girlfriend simulator,50,48,26000,,,ai girlfriend free,informational,seed_modifier,,sitelink;discussion;question,9,8,informational,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.67,"base=7.67 (T=6.43,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend free no sign up,600,54,26000,,,ai girlfriend free,informational,seed_modifier,,,9,8,informational,54,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
free ai chat girlfriend,200,41,26000,,,ai girlfriend free,informational,seed_modifier,,sitelink,9,8,informational,41,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.81,"base=7.81 (T=6.78,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai chatbot girlfriend free,80,43,26000,,,ai girlfriend free,informational,seed_modifier,,,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.77,"base=7.77 (T=6.68,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend for free,200,40,26000,,,ai girlfriend free,informational,seed_modifier,,discussion,9,8,informational,40,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.83,"base=7.83 (T=6.83,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw ai,56000,38,26000,,,ai nsfw,informational,seed_modifier,,sitelink,9,4,informational,38,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.67,"base=6.67 (T=6.93,BF=9,PF=4) boost=0.0 delta=+0.0",seed_modifier
nsfw ai image,5100,53,26000,,,ai nsfw,informational,seed_modifier,,,9,4,informational,53,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
nsfw image ai,500,27,25000,,,ai nsfw,informational,seed_modifier,,sitelink,8,7,informational,27,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.48,"base=7.48 (T=7.45,BF=8,PF=7) boost=0.0 delta=+0.0",seed_modifier
nsfw ai character generator,100,42,25000,,,ai nsfw,informational,seed_modifier,,,9,4,tool-led,42,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.58,"base=6.58 (T=6.70,BF=9,PF=4) boost=1.0 delta=+0.0",seed_modifier
ai generator girlfriend,100,42,23000,2,ourdream.ai,ai girlfriend,commercial,both,,news;image_th,7,6,tool-led,42,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.55,"base=6.55 (T=6.62,BF=7,PF=6) boost=1.0 delta=+0.0",missing
ai girlfriend free online,150,60,23000,,,ai girlfriend,informational,seed_modifier,,question;news,9,8,informational,60,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
nsfw ai chat,21000,51,21000,11,nastia.ai,,informational,competitor_gap,,sitelink,9,8,informational,51,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.54,"base=7.54 (T=6.09,BF=9,PF=8) boost=0.0 delta=+0.0",missing
girlfriend ai chatbot,350,23,20000,3,candy.ai,ai girlfriend,commercial,both,,discussion;question;news;image_th,9,8,informational,23,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.08,"base=8.08 (T=7.45,BF=9,PF=8) boost=0.0 delta=+0.0",missing
free ai girlfriend generator,1000,55,20000,,,ai girlfriend,informational,seed_modifier,,sitelink;video_th,9,8,tool-led,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
best ai chatbot girlfriend,100,41,20000,,,ai girlfriend,commercial,seed_modifier,,ai_overview;discussion;question,9,8,commercial-investigation,41,0,PASS,,true,4,yes-deep,PASS,Comparison/listicle intent — readers want options + opinion the AIO can't summarize. AIO underperforms here. [commercial_investigation_immune],,,,7.72,"base=7.72 (T=6.55,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
the best ai girlfriend app,80,19,20000,,,ai girlfriend,commercial,seed_modifier,,ai_overview;ai_overview_sitelink;video_th;image_th;sitelink;question,9,8,commercial-investigation,19,2,PASS,,true,4,yes-deep,PASS,Comparison/listicle intent — readers want options + opinion the AIO can't summarize. AIO underperforms here. [commercial_investigation_immune],,,,8.16,"base=8.16 (T=7.65,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
girlfriend chat ai,200,60,19000,,,ai girlfriend,commercial,seed_modifier,,,7,6,informational,60,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
ai free girlfriend,200,24,19000,,,ai girlfriend,commercial,seed_modifier,,,7,6,informational,24,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.84,"base=6.84 (T=7.36,BF=7,PF=6) boost=0.0 delta=+0.0",seed_modifier
free ai girlfriend chatbot,600,58,18000,7,candy.ai,ai girlfriend,informational,both,,sitelink,9,8,informational,58,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai girlfriend creator,350,59,18000,8,ourdream.ai,ai girlfriend,commercial,both,,sitelink;question,9,8,tool-led,59,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
most realistic ai girlfriend,150,24,18000,,,ai girlfriend,commercial,seed_modifier,,ai_overview;ai_overview_sitelink;video_th;sitelink;question;news;image_th,9,8,informational,24,2,PASS,,true,5,yes-deep,RISKY,"Niche/informational query — AIO gives a partial answer; readers click for depth, examples, or platform-specific guidance. [moderate_aio_completeness]",,,,8.02,"base=8.02 (T=7.31,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend generator free,150,51,18000,,,ai girlfriend,informational,seed_modifier,,sitelink,9,8,tool-led,51,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.48,"base=7.48 (T=5.96,BF=9,PF=8) boost=1.0 delta=+0.0",seed_modifier
sexting ai,17000,36,17000,15,candy.ai,,informational,competitor_gap,,,9,8,informational,36,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.76,"base=7.76 (T=6.66,BF=9,PF=8) boost=0.0 delta=+0.0",missing
sex chat ai,17000,48,17000,16,candy.ai,,commercial,competitor_gap,,,9,8,informational,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.52,"base=7.52 (T=6.06,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai sexting,17000,13,17000,19,candy.ai,,commercial,competitor_gap,,sitelink,9,8,informational,13,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.22,"base=8.22 (T=7.81,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai girlfriend sexting,350,23,17000,,,ai sex chat,commercial,seed_modifier,,sitelink,9,8,informational,23,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.02,"base=8.02 (T=7.31,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
best girlfriend ai app,50,22,16000,,,ai girlfriend,commercial,seed_modifier,,ai_overview;sitelink;question;news;image_th,7,6,commercial-investigation,22,2,PASS,,true,4,yes-deep,PASS,Comparison/listicle intent — readers want options + opinion the AIO can't summarize. AIO underperforms here. [commercial_investigation_immune],,,,6.82,"base=6.82 (T=7.31,BF=7,PF=6) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend image generator,350,44,15000,6,ourdream.ai,ai girls,informational,both,,,9,9,tool-led,44,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Highest combined product_fit; flagship tool,8.86,"base=7.86 (T=6.15,BF=9,PF=9) boost=1.0 delta=+0.0",missing
